,question,is_correct,num_characters,num_words,num_sentences,transformed_text
168,"In the classic fairy tale, who is Little Red Riding Hood's enemy?",0,65,15,1,classic fairi tale littl red ride hood enemi
171,Pantene Pro-V and Garnier Fructis are popular types of what?,0,60,11,1,panten garnier fructi popular type
174,A bed that folds up into the wall is commonly known as what?,0,60,14,1,bed fold wall commonli known
177,Which of these colleges does NOT have a physical location?,1,58,11,1,colleg physic locat
180,Which of these desserts is often made with ladyfingers?,1,55,10,1,dessert often made ladyfing
183,Which of these is a real illness that affects rabbits?,0,54,11,1,real ill affect rabbit
186,The Doors are named after a famous essay by the author of what iconic novel?,0,76,16,1,door name famou essay author icon novel
189,Which TV news host once wrote about his first date with Monica Lewinsky?,1,72,14,1,tv news host wrote first date monica lewinski
192,The famous German phrase “Sturm und Drang” comes from what?,0,59,13,1,famou german phrase sturm und drang come
195,In which African country is English NOT the official language?,0,62,11,1,african countri english offici languag
198,Which ‘90s movie is an anagram of the original book title which the film is based on?,0,85,19,1,90 movi anagram origin book titl film base
201,Which legendary music producer is closely related to former President Jimmy Carter?,0,83,13,1,legendari music produc close relat former presid jimmi carter
204,"Which of these websites is an online database for movies, television and video games?",0,85,16,1,websit onlin databas movi televis video game
207,What does bicameral mean?,0,25,5,1,bicamer mean
210,A galleon is an old-fashioned type of what?,1,43,9,1,galleon type
213,"What male singing voice type is higher than a bass, but lower than a tenor?",1,75,17,1,male sing voic type higher bass lower tenor
216,Which of these is NOT a real berry?,0,35,9,1,real berri
219,George Washington Carver is famous for his scientific work on what subject?,1,75,13,1,georg washington carver famou scientif work subject
222,Which of these is NOT believed to be a function of the uvula?,1,61,14,1,believ function uvula
225,Which of these baseball legends was a first-ballot Hall of Famer?,0,65,12,1,basebal legend hall famer
228,Which of these things can be mathematically described as an oblate spheroid?,0,76,13,1,thing mathemat describ oblat spheroid
231,“Fro-yo” is short for what?,0,27,8,1,short
234,"In Shakespeare's play “Julius Caesar,” what phrase does the titular character say to Brutus?",1,92,19,1,shakespear play juliu caesar phrase titular charact say brutu
236,What is the name of a Japanese art form that features trees grown in containers?,0,80,16,1,name japanes art form featur tree grown contain
239,What college football team’s chant is also likely to be heard on a farm?,1,72,17,1,colleg footbal team chant also like heard farm
242,What legendary “Buffalo Bill’s Wild West” star had a negative-sounding nickname?,0,80,16,1,legendari buffalo bill wild west star nicknam
245,Where did Bernese Mountain Dogs originate?,0,42,7,1,bernes mountain dog origin
248,Which fashion designer is grandmother to a literal princess?,1,60,10,1,fashion design grandmoth liter princess
251,Which film features the same kind of talking animal as the Old Testament book Numbers?,0,86,16,1,film featur kind talk anim old testament book number
254,Which of these posts was Constance Baker Motley NOT the first African-American woman to hold?,0,93,16,1,post constanc baker motley first woman hold
256,In which country is GeoCities still up and running?,0,51,10,1,countri geociti still run
259,"Before the lyrics are sung, how many finger snaps are heard in the “Addams Family” theme song?",1,94,21,1,lyric sung mani finger snap heard addam famili theme song
262,Which of these is the name of a princess in Disney's “Frozen”?,0,62,16,1,name princess disney frozen
265,The Olympic logo features what combination of shapes?,0,53,9,1,olymp logo featur combin shape
268,The Italian cooking term “al dente” means what?,1,47,11,1,italian cook term al dent mean
271,Which of these companies offers a “freemium” service?,1,53,11,1,compani offer freemium servic
274,What word does Nestlé use to describe their Toll House chocolate chips?,1,71,13,1,word nestlé use describ toll hous chocol chip
277,Which of these countries legally guarantees its citizens “freedom to roam”?,0,75,14,1,countri legal guarante citizen freedom roam
280,Bill Cunningham was a key influence in what style of photography?,0,65,12,1,bill cunningham key influenc style photographi
283,“INTJ” is a personality type based on a hypothesis by which psychiatrist?,0,73,15,1,intj person type base hypothesi psychiatrist
286,Which of these activists is the subject of a song by John Lennon and Yoko Ono?,1,78,17,1,activist subject song john lennon yoko ono
289,The U.S. flag bearer for the 2018 Olympics is a medalist in what event?,0,71,15,1,flag bearer 2018 olymp medalist event
292,Which of these people was born with the same name as a famous ketchup?,0,70,15,1,peopl born name famou ketchup
295,What form of energy do batteries provide?,0,41,8,1,form energi batteri provid
298,Which “Rose” was the lead singer of Guns N' Roses?,0,50,14,1,rose lead singer gun n rose
301,"In a best-selling Little Golden Book, who was “The Monster at The End of This Book”?",1,84,20,1,littl golden book monster end book
304,“Embarazada” is the Spanish word for what?,0,42,10,1,embarazada spanish word
307,Which American car manufacturer first introduced seat belts?,0,60,9,1,american car manufactur first introduc seat belt
310,Which of these authors has NOT written a comic book about Black Panther?,0,72,14,1,author written comic book black panther
313,"Last year, Microsoft angered customers by announcing it would eliminate what Windows software?",0,94,15,1,last year microsoft anger custom announc would elimin window softwar
316,A 1984 Devo album has the same name as a massive 1984 single by what band?,0,74,17,1,1984 devo album name massiv 1984 singl band
319,"In da Vinci’s “Last Supper,” which disciple is depicted holding a weapon?",1,73,18,1,da vinci last supper discipl depict hold weapon
322,Which term is shorthand for a useful item when changing a flat tire?,0,68,14,1,term shorthand use item chang flat tire
325,Tonga's 2016 Olympic flag bearer became a global viral sensation for dressing how?,1,82,15,1,tonga 2016 olymp flag bearer becam global viral sensat dress
327,What Olympic legend was the subject of a song in an Oscar-nominated 1999 film?,1,78,15,1,olymp legend subject song 1999 film
330,Which of these items would be measured on the Scoville scale?,1,61,12,1,item would measur scovil scale
333,Which of these iconic African-American leaders was NOT born into slavery?,1,73,12,1,icon leader born slaveri
336,A cat with what fur pattern is almost always female?,1,52,11,1,cat fur pattern almost alway femal
339,Which nation does NOT have a two-word capital city?,1,51,10,1,nation capit citi
342,"In 2014, an excavation at a New Mexican landfill uncovered what?",0,64,13,1,2014 excav new mexican landfil uncov
344,The athlete who has competed in the most Olympic games hails from which country?,1,80,15,1,athlet compet olymp game hail countri
347,Which of these fonts was NOT created by Microsoft?,0,50,10,1,font creat microsoft
350,"In the first known use of “mammoth” as an adjective, what item was it describing?",1,81,19,1,first known use mammoth adject item describ
353,Which of these countries has a lower gross domestic product than any U.S. state?,0,80,15,1,countri lower gross domest product state
356,"Which of these Olympians is most likely to perform a lutz, axel or toe loop jump?",0,81,18,1,olympian like perform lutz axel toe loop jump
359,From what country did the American colonies win their independence?,0,67,11,1,countri american coloni win independ
362,Which of these animals is NOT native to Australia?,1,50,10,1,anim nativ australia
365,Which congressman participated in the Selma to Montgomery marches of 1965?,0,74,12,1,congressman particip selma montgomeri march 1965
368,The Ark of the Covenant supposedly contains what religious artifact?,1,68,11,1,ark coven supposedli contain religi artifact
371,Which of these actors is incapable of making a fist with his left hand?,0,71,15,1,actor incap make fist left hand
374,Which of these is NOT a term used in Olympic curling?,0,53,12,1,term use olymp curl
377,The “Cha-Cha Slide” includes a dance move named after what cartoon character?,0,77,15,1,slide includ danc move name cartoon charact
380,Portuguese is an official language of which country?,1,52,9,1,portugues offici languag countri
383,"Among U.S. astronauts, what distinction does Sally Ride have?",1,61,11,1,among astronaut distinct salli ride
386,Which chemical compound would you NOT use to create red and blue fireworks?,1,75,14,1,chemic compound would use creat red blue firework
389,King Louis XIV’s Palace of Versailles contained over 150 pieces of furniture made entirely of what?,1,99,19,1,king loui xiv palac versail contain 150 piec furnitur made entir
392,Which of the following is NOT used to describe someone from that particular state?,1,82,15,1,follow use describ someon particular state
395,Lonnie Johnson accidentally created the Supersoaker while trying to build what?,1,79,12,1,lonni johnson accident creat supersoak tri build
398,"In gardening, what word refers to overall health and usability of soil?",0,71,14,1,garden word refer overal health usabl soil
401,Which type of musical composition is also an Olympic figure skating jump?,0,73,13,1,type music composit also olymp figur skate jump
404,Low-income college students may qualify for a federal grant program named for a senator from what state?,0,104,18,1,colleg student may qualifi feder grant program name senat state
405,The westernmost region of Russia touches which of these countries?,1,66,11,1,westernmost region russia touch countri
408,Which animals race at the Kentucky Derby?,1,41,8,1,anim race kentucki derbi
411,What is the name for anger experienced while driving a car?,0,59,12,1,name anger experienc drive car
414,Which of these products is a depilatory?,1,40,8,1,product depilatori
417,Which of these songs was NOT recorded by the Beach Boys?,0,56,12,1,song record beach boy
420,Auguste Rodin's statue The Thinker is meant to represent what real-life person?,1,79,14,1,august rodin statu thinker meant repres person
423,Which of these is an alveolar disorder?,1,39,8,1,alveolar disord
426,Which of these two-letter combos is an acceptable word in Scrabble?,0,67,12,1,combo accept word scrabbl
429,Which of these Adam Sandler movies has a female director?,1,57,11,1,adam sandler movi femal director
432,Which position was first held in the last year of the previous century?,0,71,14,1,posit first held last year previou centuri
435,Which author's Pulitzer Prize-winning novel was adapted into a Broadway musical?,0,80,13,1,author pulitz novel adapt broadway music
438,The first edition of the CNN show Crossfire featured which host?,0,64,12,1,first edit cnn show crossfir featur host
441,"According to the Book of Leviticus, which of these animals is kosher to eat?",0,76,16,1,accord book leviticu anim kosher eat
444,Bart's age on “The Simpsons” is NOT the same as which of these characters?,0,74,18,1,bart age simpson charact
447,What beauty product entrepreneur became the first U.S. self-made female millionaire?,0,84,12,1,beauti product entrepreneur becam first femal millionair
449,The author who created Tarzan once worked for which of these publications?,0,74,13,1,author creat tarzan work public
452,What is the mid-day meal usually called?,0,40,8,1,meal usual call
455,In what part of a newspaper would you post an item for sale?,0,60,14,1,part newspap would post item sale
458,The “skyhook” is a move in which of these sports?,0,49,13,1,skyhook move sport
461,What U.S. state borders only one other U.S. state?,0,50,10,1,state border one state
464,The author of “The Picture of Dorian Gray” was born in what country?,0,68,16,1,author pictur dorian gray born countri
467,What is the name of London's electronic public transit pass?,0,60,12,1,name london electron public transit pass
470,"According to Marie Kondo, you should only own material items with what quality?",0,79,15,1,accord mari kondo materi item qualiti
473,Which of these North American deserts is the smallest?,0,54,10,1,north american desert smallest
476,Which Secretary-General of the United Nations once appeared on “Da Ali G Show”?,0,79,16,1,unit nation appear da ali g show
479,"One thousand years ago, which of these regions was heavily populated with Moorish people?",0,89,16,1,one thousand year ago region heavili popul moorish peopl
482,The first official African-American fraternity was founded at what university?,0,78,11,1,first offici fratern found univers
485,Which of these things did Skee-Lo NOT wish for in his hit '90s song?,0,68,15,1,thing wish hit song
488,Who famously painted the ceiling of the Sistine Chapel?,1,55,10,1,famous paint ceil sistin chapel
491,Which U.S. coin features a portrait of Abraham Lincoln?,0,55,10,1,coin featur portrait abraham lincoln
494,Which of these is NOT a unit of temperature?,0,44,10,1,unit temperatur
497,The R.E.M. song “Man on the Moon” was written about what comedian?,0,66,16,2,song man moon written comedian
500,What disease gets its name from the Italian term for “bad air”?,0,63,15,1,diseas get name italian term bad air
503,Students of Auguste Escoffier would have known how to do what?,0,62,12,1,student august escoffi would known
506,A 1976 book by Richard Dawkins introduced what now-common word?,0,63,11,1,1976 book richard dawkin introduc word
509,Which voice actor from “The Emperor’s New Groove” was once blacklisted in Hollywood?,1,84,18,1,voic actor emperor new groov blacklist hollywood
512,Which of these is NOT a menu option for ordering hash browns at Waffle House?,0,77,16,1,menu option order hash brown waffl hous
515,"What math concept is traditionally notated by a tall, S-shaped curve?",0,69,13,1,math concept tradit notat tall curv
518,Which of these supposedly hip cities does NOT have an Instagram filter named after it?,0,86,16,1,supposedli hip citi instagram filter name
521,The inventor of the board game Risk also directed what award-winning film?,0,74,13,1,inventor board game risk also direct film
524,"According to legend, what vessel is most likely to contain a wish-granting genie?",0,81,15,1,accord legend vessel like contain geni
527,Which of these destinations is legally allowed to bill itself as “The Happiest Place on Earth”?,0,95,19,1,destin legal allow bill happiest place earth
530,"At New Orleans Mardi Gras, what are float riders required to wear by law?",0,73,16,1,new orlean mardi gra float rider requir wear law
533,Which of these is NOT part of the three-word Olympic motto?,1,59,12,1,part olymp motto
536,Cirque du Soleil is a theater troupe first formed in which country?,0,67,13,1,cirqu du soleil theater troup first form countri
539,Which of these films does NOT prominently feature identical twins?,0,66,11,1,film promin featur ident twin
542,The painting “Washington Crosses the Delaware” has appeared on which state quarter?,1,83,15,1,paint washington cross delawar appear state quarter
545,The 2008 Olympics were the first time the medals contained what material?,1,73,13,1,2008 olymp first time medal contain materi
548,"When written in all caps, which insult refers to a common type of computer user interface?",0,90,18,1,written cap insult refer common type comput user interfac
551,What writer was the first to receive a MacArthur “genius” grant for science fiction?,1,84,17,1,writer first receiv macarthur geniu grant scienc fiction
553,The “Father of Art Deco” designed over 200 covers for which magazine?,0,69,15,1,father art deco design 200 cover magazin
556,"Who is Robert Downey, Jr.’s father?",1,35,10,1,robert downey father
559,"In July of 2017, Joey Chestnut set a world record by consuming 72 what?",0,71,16,1,juli 2017 joey chestnut set world record consum 72
562,Who just became the youngest woman to win gold in Olympics snowboarding?,0,72,13,1,becam youngest woman win gold olymp snowboard
565,"In Ancient Greece, Olympic athletes typically competed wearing what?",0,68,11,1,ancient greec olymp athlet typic compet wear
568,"What pop star first recorded under the same name as the so-called ""sailor's devil""?",0,83,18,1,pop star first record name sailor devil
571,"In the King James Bible, which of these measures “six cubits and a span”?",0,73,18,1,king jame bibl measur six cubit span
574,Which of these is NOT a palindrome?,0,35,8,1,palindrom
577,Aaron Sorkin &amp; Quentin Tarantino helped write the screenplay to which movie?,1,80,15,1,aaron sorkin amp quentin tarantino help write screenplay movi
580,"In 1997, Alabama’s state bar association put up a monument to whom?",1,67,16,1,1997 alabama state bar associ put monument
583,What Canadian city aptly takes its name from a Cree term for “muddy water”?,1,75,17,1,canadian citi aptli take name cree term muddi water
586,Which of these performers was part of the first Lollapalooza festival lineup?,0,77,13,1,perform part first lollapalooza festiv lineup
589,Hamburgers are usually made with what?,0,38,7,1,hamburg usual made
592,Who is the reigning monarch of Great Britain?,1,45,9,1,reign monarch great britain
595,Which of these is a tool used for glass blowing?,0,48,11,1,tool use glass blow
598,Which of these animals has a species named after Ferdinand Magellan?,1,68,12,1,anim speci name ferdinand magellan
601,"Ron Perlman, Kris Kristofferson and Lynda Carter have all recorded voices for what video game series?",1,101,18,1,ron perlman kri kristofferson lynda carter record voic video game seri
602,Ancient Egyptians shaved their eyebrows when what occurred?,0,59,9,1,ancient egyptian shave eyebrow occur
605,Which legendary writer used to live with Marlon Brando?,0,55,10,1,legendari writer use live marlon brando
608,Which of these animals does NOT possess chromatophores?,0,55,9,1,anim possess chromatophor
611,The intro of TV’s “Wide World of Sports” pairs the phrase “agony of defeat” with what footage?,0,94,24,1,intro tv wide world sport pair phrase agoni defeat footag
612,How did Senator Strom Thurmond prepare for the longest-ever U.S. Congressional filibuster?,0,90,13,1,senat strom thurmond prepar congression filibust
613,Which of these U.S. TV shows airs earliest in the day?,0,54,12,1,tv show air earliest day
616,Neil Armstrong was the first person to do what?,0,47,10,1,neil armstrong first person
619,"Traditionally made with cheese, what Swiss dish means “melted” in French?",0,73,15,1,tradit made chees swiss dish mean melt french
622,Which novel is set in a land named after the Latin word for “bread”?,0,68,17,1,novel set land name latin word bread
625,During which holiday are the most greeting cards in the U.S. sold?,1,66,13,1,holiday greet card sold
628,"In “Pulp Fiction,” Samuel L. Jackson claims his iconic monologue comes from what book of the Bible?",1,99,21,1,pulp fiction samuel jackson claim icon monologu come book bibl
631,"Before the Industrial Revolution, American workers would typically stop around 11 a.m. to do what?",0,98,17,1,industri revolut american worker would typic stop around 11
633,A key financial backer of the 1961 Freedom Rides was famous for recording which song?,1,85,16,1,key financi backer 1961 freedom ride famou record song
635,Which inventor boarded a steamer ship in 1913 and was never seen alive again?,0,77,15,1,inventor board steamer ship 1913 never seen aliv
638,Which of these famous buildings contains vomitoria?,0,51,8,1,famou build contain vomitoria
641,What TV acting award has Julia Louis-Dreyfus won the fewest number of times?,1,76,14,1,tv act award julia fewest number time
644,Which of these U.S. federal government positions comes with the highest annual salary?,1,86,14,1,feder govern posit come highest annual salari
646,Which of these is a common type of salad?,1,41,10,1,common type salad
649,Elephants are known for their sense of what?,0,44,9,1,eleph known sens
652,Which of these sports is played with a paddle?,0,46,10,1,sport play paddl
655,Which of these is NOT one of the first Starburst flavors?,0,57,12,1,one first starburst flavor
658,How is the first name of the lead actor of “The English Patient” pronounced?,0,76,17,1,first name lead actor english patient pronounc
661,"When it comes to clothing, what is peplum?",0,42,10,1,come cloth peplum
664,The wife of which of these writers inspired the title of a popular video game?,0,78,16,1,wife writer inspir titl popular video game
667,Which of these is NOT a defunct Yahoo product?,1,46,10,1,defunct yahoo product
670,"In the original children's book “Flat Stanley,” what falling item flattens Stanley?",0,83,17,1,origin children book flat stanley fall item flatten stanley
673,"In a viral photo of Dwayne “The Rock"" Johnson in a turtleneck, what is his arm leaning on?",0,90,22,1,viral photo dwayn rock johnson turtleneck arm lean
676,Which U.S. island’s municipal bonds are NOT triple tax-exempt?,0,62,12,1,island municip bond tripl
679,The Hermès Birkin handbag was born thanks to a random meeting where?,1,68,13,1,hermè birkin handbag born thank random meet
682,"In the Mother Goose nursery rhyme, what did Little Miss Muffet sit on?",0,70,15,1,mother goos nurseri rhyme littl miss muffet sit
685,"According to the Chinese zodiac, 2018 is now officially the Year of the what?",1,77,16,1,accord chines zodiac 2018 offici year
688,What foliage did Adam and Eve use to cover up?,0,46,11,1,foliag adam eve use cover
691,Which household device was created by iRobot?,0,45,8,1,household devic creat irobot
694,The mosaic pavement streets of Rio de Janeiro contain numerous examples of what?,1,80,14,1,mosaic pavement street rio de janeiro contain numer exampl
697,Which of these drinks is often classified into culinary and ceremonial grades?,0,78,13,1,drink often classifi culinari ceremoni grade
700,Microblading eyebrows essentially consists of doing what?,1,57,8,1,microblad eyebrow essenti consist
703,What rating does Dudley Moore give Bo Derek’s character in the film “10”?,1,73,18,1,rate dudley moor give bo derek charact film 10
706,Which of these toys has NOT been to space?,1,42,10,1,toy space
709,Which of these soprano singing ranges has the lowest tessitura?,0,63,11,1,soprano sing rang lowest tessitura
712,"Before creating Hotmail, the two founders worked together at what company?",0,74,13,1,creat hotmail two founder work togeth compani
715,Which animal is NOT depicted in Rembrandt’s “The Night Watch”?,1,62,15,1,anim depict rembrandt night watch
718,What is traditional to wear on St. Patrick’s Day?,0,49,12,1,tradit wear patrick day
721,Which of these is a national hamburger chain?,0,45,9,1,nation hamburg chain
724,Which of these is NOT a pseudonym?,0,34,8,1,pseudonym
727,"In baseball, “Mendoza line” is a nickname for what?",1,51,13,1,basebal mendoza line nicknam
730,The director of “Lady Bird” starred in which indie movie?,0,57,13,1,director ladi bird star indi movi
733,What sport is often played with an item resembling a Buckminsterfullerene molecule?,0,83,13,1,sport often play item resembl buckminsterfulleren molecul
736,Nearly every episode of which TV show is named after a song title?,0,66,14,1,nearli everi episod tv show name song titl
739,Which is NOT a correct pairing of tablet and tablet maker?,1,58,12,1,correct pair tablet tablet maker
742,Which philosopher directly inspired many of the lyrics on Radiohead’s “OK Computer”?,0,84,17,1,philosoph directli inspir mani lyric radiohead ok comput
745,Which fitness brand was established first?,1,42,7,1,fit brand establish first
748,Which of these titles is currently held by nobody?,1,50,10,1,titl current held nobodi
751,"In kickball, what are players meant to use to propel the ball onto the field?",0,77,17,1,kickbal player meant use propel ball onto field
754,"According to the title of a classic horror movie, “The Hills Have” what?",0,72,17,1,accord titl classic horror movi hill
757,The popular abbreviation TFW usually stands for what?,1,53,9,1,popular abbrevi tfw usual stand
760,A tarantula hawk is a type of what?,0,35,9,1,tarantula hawk type
763,A stylized depiction of the Matterhorn is featured in what corporate logo?,1,74,13,1,styliz depict matterhorn featur corpor logo
766,Which statement is true of the R&amp;B group “Tony! Toni! Toné!”?,0,65,21,3,statement true r amp b group toni toni toné
768,Daku is the pseudonym of a street artist known for his work in what city?,1,73,16,1,daku pseudonym street artist known work citi
771,A controversial ‘90s episode of “Oprah” caused the price of which product to drop?,0,82,18,1,controversi 90 episod oprah caus price product drop
774,Which of these terms does NOT refer to a sea slug?,1,50,12,1,term refer sea slug
777,The longest-serving senator currently in office has been re-elected how many times?,1,83,13,1,senat current offic mani time
781,Matt Damon &amp; Ben Affleck appear uncredited in which baseball movie?,1,71,14,1,matt damon amp ben affleck appear uncredit basebal movi
784,"In the nursery rhyme, Mary had a little what?",0,45,11,1,nurseri rhyme mari littl
787,Which of these is a common machine used in construction?,0,56,11,1,common machin use construct
790,Who is considered the father of scientific classification?,0,58,9,1,consid father scientif classif
793,Siri made its debut on which iPhone?,0,36,8,1,siri made debut iphon
796,Which of these is a poetry term for a stanza with four lines?,0,61,14,1,poetri term stanza four line
799,Which band featured a regular didgeridoo player?,0,48,8,1,band featur regular didgeridoo player
802,Which action star is the creator of an eponymous martial art?,0,61,12,1,action star creator eponym martial art
805,Which of these games is typically played using a deck with the fewest cards?,1,76,15,1,game typic play use deck fewest card
808,The cooking technique now known as tempura originated in which of these places?,0,79,14,1,cook techniqu known tempura origin place
811,"In 2008, the creators of what startup raised funds by selling novelty breakfast cereals?",0,88,16,1,2008 creator startup rais fund sell novelti breakfast cereal
813,The top prize in architecture is named for the creator of what hotel chain?,1,75,15,1,top prize architectur name creator hotel chain
816,Which company was named after its founder’s unusual hairstyle?,1,62,12,1,compani name founder unusu hairstyl
819,"In a BLT sandwich, the “T” stands for what?",0,43,13,1,blt sandwich stand
822,Habitat for Humanity is a charity known for building what?,0,58,11,1,habitat human chariti known build
825,Which of these is a part of the heart?,1,38,10,1,part heart
828,“Go Blue!” is the rallying cry of what university’s sports team?,1,64,17,1,go blue ralli cri univers sport team
831,A famous fossil found in an English cave has what cheesy name?,0,62,13,1,famou fossil found english cave cheesi name
834,Which ingredient is typically listed first on jars of classic Nutella?,0,70,12,1,ingredi typic list first jar classic nutella
837,Which performer did NOT get booed while debuting at the Apollo Theater Amateur Night?,0,85,15,1,perform get boo debut apollo theater amateur night
840,Which of these poets' best-known works is a villanelle?,0,55,11,1,poet work villanel
843,Which of these states does NOT have an official governor’s mansion?,0,67,14,1,state offici governor mansion
846,Which First Lady’s official portrait features her resting her hand on a large dog?,1,82,17,1,first ladi offici portrait featur rest hand larg dog
848,"Jimi Hendrix, Frank Sinatra &amp; Bobby Darin all released songs with what name in the title?",0,93,20,1,jimi hendrix frank sinatra amp bobbi darin releas song name titl
851,"In theater, what phrase means “good luck”?",1,42,11,1,theater phrase mean good luck
854,Medicine you can buy without a prescription is said to be available over-the-what?,1,82,14,1,medicin buy without prescript said avail
857,What university’s mascot is a cartoonish clergy member?,0,55,11,1,univers mascot cartoonish clergi member
860,The title of the play “A Raisin in the Sun” comes from a poem by which author?,0,78,20,1,titl play raisin sun come poem author
